Acquisition_1,Acquisition_2,Acquisition_3,Acquisition_4,Acquisition_5,Acquisition_6,Acquisition_7,Acquisition_8,Acquisition_9,Acquisition_10,Acquisition_11,Acquisition_12,Acquisition_13,Acquisition_14,Acquisition_15,Acquisition_16,Acquisition_17,Acquisition_18,Acquisition_19,Acquisition_20,Acquisition_21,Acquisition_22,Acquisition_23,Acquisition_24,Acquisition_25
922618339965.10,861914585420.94,751214251770.77,634184139781.24,698279544553.35,874090259844.11,907171779882.23,799413193333.58,687540959159.80,623500318911.21,653423562192.09,713217792914.42,823386210535.61,916862024640.27,853111171603.35,754209749064.76,627496742256.43,663273096726.42,829652570361.19,852951518961.42,683422492070.93,624539234705.05,792444417895.60,629415817614.65,867128384635.40
922356265759.91,861840718632.93,750966767941.59,634124475345.62,698270466131.22,874223247095.77,907027133920.98,799281549589.55,687600141822.83,623340598096.11,653236538644.75,712886951811.76,823369568009.29,916124621111.01,852435756584.89,753442584621.08,626846393181.95,662548808722.75,828873972188.04,852331126277.60,683296627968.49,624303822286.07,792022587120.51,628548917037.75,866277689231.92
922075669845.62,861767094492.94,750749802939.31,634027672229.80,698222990031.86,874319347460.39,906853036337.56,799125660113.66,687620266653.40,623181083000.04,653022235247.32,712545823512.33,823328057790.29,915348297063.02,851724319756.71,752641327247.92,626161539443.49,661787672663.77,828060083263.76,851694407516.21,683149830386.65,624051709585.05,791561622097.34,627650059375.70,865398237514.39
921776642473.37,861731736218.93,750563372497.26,633939009999.56,698137119679.95,874378569428.55,906649489005.16,798984418405.68,687601334367.32,623035565657.76,652780663298.85,712194373871.11,823261757841.24,914533058093.25,850976897951.67,751806029468.68,625442227973.90,660989711342.60,827210939875.99,851041338215.20,682982040742.31,623782898676.81,791083918301.11,626719298058.40,864490015118.95
921459277920.80,861658592498.70,750340315619.95,633842510297.80,698012858802.17,874400922114.89,906416496035.45,798818959248.37,687543345745.74,622865359016.60,652511838660.81,711804990399.29,823170749531.56,913678909873.80,850193529018.79,750936745564.98,624688507584.53,660154948490.63,826326579568.37,850371898334.78,682853705461.66,623497397676.55,790589500244.86,625756689310.99,863553010103.71
921123674518.00,861547680753.59,750123467404.18,633746156001.32,697888649005.91,874386415261.59,906154063782.56,798629301695.21,687446301635.74,622670515186.40,652215781352.06,711426098185.13,823055117663.03,912785858152.54,849374251843.92,750033531610.26,623900429004.79,659283408795.36,825407041164.45,849686072270.84,682764821333.26,623195220755.55,790078397298.53,624762292205.00,862587212957.89
920769934674.76,861447458146.88,749912803862.13,633641912805.62,697776727501.86,874335059242.88,905928835445.32,798415468389.42,687310202951.02,622451090802.57,651919834409.41,711036850732.53,822914950496.72,911853908753.47,848519106371.12,749096445504.90,623147903894.97,658375117919.11,824452364792.65,849039307770.80,682715385089.87,622876388159.26,789550643709.65,623736168712.18,861592616612.17
920398164909.03,861347447988.27,749732681793.30,633529749032.91,697664846949.34,874283713683.21,905703550512.17,798201678566.12,687135050672.65,622207147055.48,651662093675.70,710637221309.24,822750339781.49,910883067577.12,847628133624.97,748125547012.76,622361056963.91,657430102518.73,823462591912.41,848376142711.96,682705393410.10,622540926227.99,789006278625.58,622678383760.94,860560412356.69
920008475876.57,861247650554.14,749515928100.35,633446953248.28,697591442383.56,874239029227.46,905478208863.88,797987932240.28,686920845849.95,621938749722.53,651442567786.68,710275650706.52,822561380783.87,909873340600.71,846701375733.43,747120897799.16,621539941382.85,656448390266.28,822437765341.62,847696569941.80,682674276692.96,622188867420.13,788445346117.34,621589005295.62,859490602394.47
919600982401.85,861120449197.08,749293083695.33,633326935132.85,697544285438.46,874200979228.30,905252810381.27,797774229442.39,686667589601.55,621645969203.15,651185061681.94,709876119772.11,822348172319.43,908824733878.17,845769806533.37,746082561470.51,620684612345.59,655430009870.81,821377929285.20,847000586793.52,682621987038.67,621820250337.84,787867895205.04,620468104338.50,858383189409.98
